date,event,category,description
2026-03-09,first-observation,milestone,First observation generated by claude-mem worker
2026-03-09,sqlite-sync-start,infra,SQLite sync via cron (15min) between 3 machines began
2026-04-10,sync-retry-fix,bugfix,SSH retry logic added after 2.5h connectivity gap on Machine-C
2026-04-15,benchmark-start,milestone,Automated CC benchmarking begins (every 6h)
2026-05-11,upstream-contact,milestone,Upstream maintainer (thedotmack) reaches out about server-mode
2026-05-12,server-beta-deploy,milestone,Server-beta deployed on Machine-B (Postgres + BullMQ + systemd)
2026-05-12,sqlite-to-pg-migration,migration,22116 observations migrated from SQLite to Postgres
2026-05-12,hook-forwarding-live,feature,All 3 machines forward hook events to server-beta via fire-and-forget
2026-05-14,mcp-cutover,milestone,MCP runtime switched to server-beta (Postgres) fleet-wide
2026-05-14,bun-path-fix,bugfix,Discovered bun not in cron PATH — sync broken for 5 weeks silently
2026-05-14,db-sanitized,maintenance,Removed 106 deprecated + 49 empty observations from fleet
2026-05-17,cron-optimizer,feature,OraClaw cron optimizer deployed — auto-scheduling with energy-aware solver
2026-05-17,load-fix,bugfix,Load on Machine-C dropped from 8.66 to 0.43 after cron optimization
2026-05-17,disk-cleanup,maintenance,5.6 GB recovered on Machine-A after aggressive cache cleanup
2026-05-17,vacuum-pg,maintenance,VACUUM ANALYZE on Postgres — dead tuples 1361 reduced to 18
2026-05-19,prod-generation-live,milestone,Server-side generation engaged at scale (16k obs/day) — Regime A (multi-turn Agent SDK) begins
2026-05-23,inject-from-pg,feature,Context injection switched to server-rendered timeline from Postgres (inject from PG)
2026-05-23,api-search-pg,feature,/api/search backed by Postgres (FTS + semantic) instead of local SQLite
2026-05-27,project-metadata,bugfix,Observation project metadata re-linked on server (upstream PR #2671)
2026-05-30,gemini-quota-exhausted,bugfix,Gemini prepaid credits depleted — generation provider under pressure
2026-06-02,v13.4.0-upgrade,milestone,Fleet upgraded to server-beta v13.4.0 + 6 cherry-picks
2026-06-03,provider-oauth-haiku,migration,Generation provider moved to Claude (Haiku 4.5) via OAuth + keepalive/reenqueue
2026-06-05,qdrant-to-pgvector,migration,Semantic search consolidated to pgvector (vector(384) + HNSW); Qdrant removed fleet-wide (~440MB freed)
2026-06-05,single-shot-rest,milestone,Generation switched from N-call Agent SDK loop to single-shot REST (XML + deterministic post-processing) — Regime B begins
2026-06-06,short-id-refs,feature,Inject panel shows 8-char UUID prefixes (display-only); no regression in SQLite mode
2026-06-08,throughput-sampler,infra,Non-invasive throughput sampler deployed (15min cron) for Regime B latency/throughput study
2026-06-09,self-author-regime-c,milestone,Self-author E2E closed across fleet 4/4 (Machine-A/B/C + Windows) — session writes its own observations at Stop with zero external LLM (generation_key NULL) — Regime C begins
2026-06-09,save-observation-server-beta-routing,bugfix,save_observation routed to PG via /v1/memories in server-beta runtime (was writing to local SQLite island); PR #17 on fork
2026-06-09,worker-restart-on-deploy,infra,Lesson: bundle deploy/sync does not reload the running worker daemon (bun no hot-reload) — must restart worker + verify /api/memory/stats post-deploy (fleet-wide)
